Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2006","2006","t","3654.15","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2007","2007","t","3489.5","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2008","2008","t","3204.27","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2009","2009","t","3524.55","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2010","2010","t","3152.98","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2011","2011","t","3358.14","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2012","2012","t","3276.3","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2013","2013","t","3072.11","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2014","2014","t","2767.1","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2015","2015","t","2982.23","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2016","2016","t","2808.74","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2017","2017","t","2751.5","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2005","2005","t","1286909","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2006","2006","t","1298709","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2007","2007","t","1148328","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2008","2008","t","1143190","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2009","2009","t","1073401","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2010","2010","t","1124360","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2011","2011","t","1125824","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2012","2012","t","1093034","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2013","2013","t","1148534","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2014","2014","t","1102732","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2015","2015","t","1028036","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2016","2016","t","1018567","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2017","2017","t","968177","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2018","2018","t","898770","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2019","2019","t","822300","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02211","Raw milk of cattle","2020","2020","t","881760","A","Official figure",""
